well_id,best_model,best_rmse,best_mae,n_rows,fold
b977be4a,XGBoost Optimized,10.709608661910563,7.90203275100067,7495,2
ba48188d,Linear Regression,17.749546119077614,12.854190278390405,5534,3
bb2cdd83,Random Forest,8.261135134691015,5.514150311629581,5665,3
bb337fa0,XGBoost Optimized,28.63042314162935,23.53354308190582,8216,1
bb682ebd,XGBoost Optimized,31.778372950654372,25.998323065513823,5931,2
bc4381e2,Extra Trees Optimized,8.850343724150946,6.868649385700916,6885,2
bcebcc5f,Extra Trees Optimized,3.492096099804205,2.7629307711262805,7889,3
bd2c2f34,Extra Trees Optimized,20.23563099539227,17.08211954525236,11621,4
bd4ae5da,Extra Trees Optimized,47.671662567378036,30.240289572372372,6905,4
bd6f0e19,Extra Trees Optimized,6.911349446501881,5.72548186191565,6979,3
bd8f847e,Extra Trees Optimized,9.568759650761349,7.633305956978309,6161,2
be063506,Random Forest,10.604027532335223,8.516735451397192,6539,5
be35c8f2,Extra Trees Optimized,98.19879041951313,85.58424460377651,5898,2
be83e781,Extra Trees Optimized,26.79281341866196,22.903673247054204,4776,2
beda8696,Extra Trees Optimized,3.283977541430506,2.3075947653098203,7868,1
bf39bc20,Extra Trees Optimized,3.066041366118672,2.4769464825685605,5047,5
bf70b410,Extra Trees Optimized,13.737991576624962,10.72264968105303,8000,3
bffe3082,Linear Regression,282.6789867615817,282.25517030195925,7186,5
c03b9305,Extra Trees Optimized,30.36737033390143,23.748476133349723,6067,5
c03d4aed,Extra Trees Optimized,8.063750060132813,6.278147251863559,6375,2
c03fba65,Linear Regression,13.180826374946106,11.41653963585709,5669,4
c07fd0cd,Extra Trees Optimized,17.756083277135048,15.547744250589176,6035,4
c1708b88,Linear Regression,26.039811461377848,20.321788397585326,7960,5
c1d046f4,Extra Trees Optimized,20.051323581237,16.994063286001417,6917,2
c2717d4f,Extra Trees Optimized,28.995080555845426,23.29463414179208,6682,2
c2c4db09,Random Forest,12.458917559270674,9.987973699019504,7851,4
c2c6fc71,XGBoost Optimized,21.893015922983352,18.825927385287,8840,2
c36625df,Random Forest,86.08129365793228,64.1797435186349,6386,5
c3957531,XGBoost Optimized,23.2040458905303,19.14769297542733,7254,5
c42fe306,Extra Trees Optimized,14.660052989717341,10.56850799099628,7023,5
c43812e2,Extra Trees Optimized,22.484505564247463,20.39627430854007,7293,4
c472c0b5,Linear Regression,14.85420126375862,11.80167556607759,4867,5
c47e0767,Extra Trees Optimized,8.559633058477734,5.573302462982001,6099,1
c50b42f6,Extra Trees Optimized,9.756046591896087,7.079925983102327,7920,2
c593337f,Linear Regression,127.55484381548169,126.65003356787328,7118,3
c59b6c4a,Extra Trees Optimized,11.329302525755168,9.377007199479245,7460,5
c66be2b8,Linear Regression,117.40190562328971,116.52210892770282,6207,5
c6797dd7,Extra Trees Optimized,6.381339318626971,5.1593892206001,6281,2
c6b782a4,XGBoost Optimized,8.27988589284053,6.291750087780906,6675,4
c6c96179,Linear Regression,34.30004979448451,31.449031519044002,5813,1
c70c0e01,Extra Trees Optimized,22.345772425196095,18.05332742109141,6057,2
c84c65be,Extra Trees Optimized,91.77543823514318,68.81779247109026,10243,1
c8d9680c,Linear Regression,123.31494866602122,122.70024717143815,7741,2
c908edd0,Extra Trees Optimized,16.719731943082106,14.299291148869505,6751,2
c9578d27,Extra Trees Optimized,10.647213628764469,9.10287261293478,6202,5
c96c018a,XGBoost Optimized,7.0820523602989764,5.634402988263429,7679,4
c99f9fae,Random Forest,61.18943326266265,54.63521052874738,8394,4
c9e6734f,Random Forest,26.338040710136895,23.476572736142725,6388,5
c9e980e8,Random Forest,5.964691385985154,4.717190235612748,6262,3
c9fedcf3,Random Forest,17.078185064102367,13.55522214194499,5210,3
cad13e8f,Extra Trees Optimized,4.6557149623514915,3.5816668559968274,6866,3
cb34231f,XGBoost Optimized,22.24648039731023,20.03299664509834,7510,1
cb879f40,Linear Regression,155.915431101665,155.73098335025128,7904,4
cbb406b5,Linear Regression,35.05899930691783,34.07946652606549,8135,1
cbe51de1,Linear Regression,381.10096810060645,380.9574329802339,5362,2
cbe62450,Linear Regression,163.68729354274632,163.56129434999968,7858,4
cc08aa63,XGBoost Optimized,6.128150150894611,4.973838307094484,5018,4
cc8a1d57,Extra Trees Optimized,12.056200056231525,10.345665006266012,8321,2
ccedb12b,Extra Trees Optimized,4.18600229388428,3.5873984024184247,6427,2
cd7f1687,Extra Trees Optimized,11.72725728446117,10.039810520556102,5981,3
cda7eb37,Extra Trees Optimized,6.148085656923142,3.7371249086065825,7620,3
cdc31d65,Linear Regression,13.362095979425485,12.289266796873413,6608,1
cdc60a53,Extra Trees Optimized,3.6859181311595726,3.1189295913804527,7631,5
ce55ba43,Linear Regression,8.365968532628758,7.051368635163906,5658,1
ce8399b7,Random Forest,23.216519560181204,11.397015129316971,3548,1
cf50c9d1,Extra Trees Optimized,11.906441976022986,8.3144322187128,6634,3
d00e7eb9,Linear Regression,15.502121772090916,8.796452972231611,7321,4
d011f41b,Extra Trees Optimized,3.2268792926114576,2.468358542433026,3906,1
d07aed8f,Linear Regression,81.83899792795347,75.99273918010309,4709,3
d085e611,Extra Trees Optimized,17.713384654146854,13.748095813554109,7852,3
d0a0e7b5,XGBoost Optimized,18.357847911560192,15.348296887965677,5423,4
d0a43760,Random Forest,23.130530857846956,18.61063856064193,5502,4
d0cb63ae,Extra Trees Optimized,6.152322050008228,4.860721265376203,6859,3
d114d9c2,Extra Trees Optimized,2.966166522688782,2.074022970199455,7543,2
d1457cc5,Extra Trees Optimized,11.579390592342309,8.480424633409454,8443,1
d1ecf309,Extra Trees Optimized,60.854229932904495,42.4571153571286,7864,2
d1ee630d,XGBoost Optimized,31.645655808064756,28.541743390261978,7879,5
d217e0c5,XGBoost Optimized,6.904555817260735,4.686955593328869,5713,5
d24ff243,Extra Trees Optimized,7.70276101328085,5.887540284431655,7116,3
d273674e,Random Forest,18.831708442572268,12.747162153819502,5738,3
d2f3b1ab,Extra Trees Optimized,19.402356298877653,14.43558476714992,7018,3
d3df146b,Extra Trees Optimized,17.915238539060894,16.690213517823114,7252,5
d40f61d5,Extra Trees Optimized,3.3579102993178522,2.697145413069992,5880,1
d41beaf2,XGBoost Optimized,11.159108610427761,9.135811986830692,6592,4
d463e527,XGBoost Optimized,25.576816280357956,20.570095625178798,6991,1
d4f60a28,Extra Trees Optimized,7.19469205580671,4.600954076467161,6435,5
d50c649a,XGBoost Optimized,16.734704070319964,14.15730412077172,6548,2
d543916f,Random Forest,15.207570001503676,10.915125333448218,6281,5
d5df0ff5,XGBoost Optimized,45.01154013717253,41.39696678620233,5490,2
d60430e6,Linear Regression,23.694250715552553,22.994574696155073,4176,2
d63196fe,Extra Trees Optimized,3.5274388183197645,2.8302440883096467,5881,5
d6c320d9,Random Forest,16.12112344532831,12.478707903162217,6946,5
d6dd7330,Extra Trees Optimized,7.212848928612225,5.835994559033544,7660,2
d7ba4f9d,Linear Regression,27.995269840463017,24.58589779047619,7771,5
d7eb0be8,Extra Trees Optimized,18.404739154671443,15.47386966769406,7208,2
