weight_model_a,weight_model_b,rmse,mae
0.8,0.19999999999999996,82.97945521511976,38.103615891869296
0.8500000000000001,0.1499999999999999,83.00466656428684,37.91817998599953
0.75,0.25,83.03887523108253,38.33881575823348
0.9,0.09999999999999998,83.11443108948778,37.783436326439386
0.7000000000000001,0.29999999999999993,83.18275010243956,38.61641458471073
0.9500000000000001,0.04999999999999993,83.30841704922808,37.71392485589659
0.65,0.35,83.41063047229741,38.936150571332306
1.0,0.0,83.58603724268727,37.749300465977164
0.6000000000000001,0.3999999999999999,83.72184631243152,39.29766041117354
0.55,0.44999999999999996,84.11545556694549,39.69766923913255
0.5,0.5,84.59032630959285,40.13206507311583
0.45,0.55,85.14508996890216,40.59987040045636
0.4,0.6,85.7781964245557,41.106060119843896
0.35000000000000003,0.6499999999999999,86.48790671101463,41.64612188990597
0.30000000000000004,0.7,87.27238918702878,42.21796882058437
0.25,0.75,88.12962706747065,42.817355312829704
0.2,0.8,89.05752221568704,43.44529737067915
0.15000000000000002,0.85,90.05388778291231,44.10677344200114
0.1,0.9,91.11645999984707,44.80021276861957
0.05,0.95,92.24298910797658,45.524853169207795
0.0,1.0,93.43114202257063,46.27983860681105
