model,mean_residual,median_residual,std_residual,min_residual,max_residual,mean_absolute_residual,median_absolute_residual
Extra Trees Optimized,-1.6566702991761415,-0.2809592412522761,83.56962628208409,-801.1455376993454,742.8507892713278,37.749300465977164,11.49456959478448
XGBoost Optimized,-2.496691357934294,0.5666015624992724,93.39778661685357,-852.7966796875007,748.3537109374993,46.27983860681105,18.2664843750008
Random Forest,-3.7891135651475034,-0.008997920822366723,104.9335203991395,-822.5005176169434,811.2133552307914,48.51056114020981,16.481834973537843
Linear Regression,0.29943372775946003,-2.224530830473668,115.63949352480235,-855.5729206495598,2419.060932744589,83.83981573144136,63.58922149440514
