model,mean_training_seconds,total_training_seconds,mean_prediction_seconds,total_prediction_seconds,oof_rmse,oof_mae
Extra Trees Optimized,172.84607798000215,864.2303899000108,5.409936399990693,27.049681999953464,83.58603724268727,37.74930046597717
XGBoost Optimized,280.4933866200037,1402.4669331000187,7.749906299996655,38.74953149998328,93.43114202257064,46.27983860681105
Random Forest,561.9797602200066,2809.898801100033,2.9051698399940507,14.525849199970253,105.00189961450356,48.51056114020981
Linear Regression,29.73858237999957,148.69291189999785,0.8000208400015254,4.000104200007627,115.639869842476,83.83981573144136
