model,mean_well_rmse,median_well_rmse,std_well_rmse,rmse_p75,rmse_p90,max_well_rmse,mean_well_mae,median_well_mae,std_well_mae,mae_p90
Extra Trees Optimized,46.271803903442766,20.9532008222837,69.86183179331859,51.37037776552407,112.7156567186731,604.7068187759114,37.69256374309738,16.320789930237602,62.54569943061777,91.7722162633371
XGBoost Optimized,53.654427123658834,27.322558243750258,76.14796383523341,53.55946325840906,123.50216637960834,627.8850121764092,46.28958931960656,21.844060422523263,70.21780262835439,110.77987570258001
Random Forest,60.97186499885809,31.39428278337617,84.75842752331485,63.99184984847174,158.4728630534704,672.771417038255,48.30202012803938,22.978489202544953,74.14929312351205,116.60864876423467
Linear Regression,87.83091309754911,65.9308052053368,78.97087283178128,120.77199263253853,187.86544273171432,1048.7584701830035,85.57702343704261,63.853000981687764,78.54110272901917,187.02257707129027
