well_id,average_rmse,median_rmse,minimum_rmse,maximum_rmse,average_mae,n_rows,fold
cbe51de1,508.9537728645446,490.9713531596584,381.10096810060645,672.771417038255,471.9972508241639,5362,2
877ed19c,497.13339797846817,521.3395529455354,317.96947384639265,627.8850121764092,452.9254620142502,5631,4
3a7dd95d,472.1109841836893,538.452207709396,206.83270254005373,604.7068187759114,444.6372901049416,4320,4
059c8f24,469.3118805690841,576.614278038661,88.40980012292192,635.6091660760925,424.6506288936607,7998,4
b85f7b06,429.80874016169196,398.18480514665964,321.78108355805796,601.0842667953905,396.6358229390528,5453,4
e730c32b,407.2517938376564,407.3816523472253,304.93810015912317,509.30577049705175,390.4819059948834,6469,4
bffe3082,374.10532384246267,389.22034223800983,282.6789867615817,435.30162413224934,358.59636048826263,7186,5
ea0b99b7,370.8368049222946,381.50729152549115,322.6255004139127,397.70713622428354,366.5667072429694,10939,2
c8d9680c,346.95593024935795,380.84897969594067,123.31494866602122,502.81081293952917,313.6659384896512,7741,2
cbe62450,333.536474622856,364.9340400129345,163.68729354274632,440.5905249228088,300.3300749091708,7858,4
cb879f40,323.7656461838303,352.68136021623246,155.915431101665,433.78443320119135,291.14998919365576,7904,4
9c350a6a,317.0491035708308,341.69674962242016,159.04029925134205,425.76261578714093,300.5214321812464,7794,3
8cc800b3,309.6114494271976,351.03154337784554,99.00034072406164,437.3823702290377,258.0697964569121,8091,5
e5ff9fd2,296.0223214986904,322.42014748288966,204.23249890981225,335.01649211917004,280.7278711209203,4198,1
9dfff011,290.06409572114984,45.89839854519511,19.701115611205722,1048.7584701830035,264.6719216071725,6067,1
1619e2ca,288.3130641918348,297.18181962578865,219.7050846855144,339.1835328302476,268.5611234753121,6002,4
42c538a1,288.26681921390093,336.9429621250872,113.01070437683298,366.1706482285964,274.7271263277217,4762,1
0dc5e64d,278.5383521183018,268.0291802709325,206.1399883240946,371.9550596072478,257.50148491655705,6191,1
96ae5806,271.18699362429004,298.0987629490656,106.1477267310587,382.40272186797046,251.9468879434935,11527,5
347242c8,268.5876322482557,292.52545648059726,79.41537713452435,409.88423889730393,227.0042060066283,5437,3
1fee2b62,258.03909338767653,237.37740355783149,222.4497782754761,334.9517881595671,240.77436384284346,6323,2
6d590e26,257.4750892015046,287.01282696012333,120.88087120974808,334.9938316760237,223.820074933884,7842,2
91db7070,249.27238479776804,271.596525939227,104.26055146229426,349.63593585032396,233.04517420332883,5646,5
a0e92ed6,228.84556074139917,233.1727080325598,175.4794074553774,273.55741944509964,196.0384270233267,6446,1
9e3e364d,223.7705084227697,235.79176547534416,80.47648183112297,343.0220209092675,211.51784578446518,5809,2
4463446c,216.60470016285984,209.63619574306057,191.68833200332264,255.4580771619955,192.58999355735642,4729,4
87695469,215.1862556444318,210.4594990387717,83.46894369047416,356.3570808097097,170.68199668400817,8654,1
05a0ee4d,213.02404604957957,197.46334900169018,128.30344575372797,328.8660404412099,201.84855304733992,6098,5
aaaf3c03,211.22960282149063,213.1040403997501,97.34084704853169,321.3694834379307,157.03628861259227,4728,5
5f4d2a52,210.06789989619426,220.00613307871015,97.43264700406806,302.82668642328866,185.21810968769273,7112,5
ab112491,207.02306816880474,204.52487860983354,173.18344322645441,245.8590722290975,180.56625312185767,7178,2
c84c65be,205.03712181861405,210.14423822344787,91.77543823514318,308.08457259241726,163.32199350474764,10243,1
0e5e560d,202.01705452705767,184.66669125946402,151.04957393964543,287.68526164965715,177.80692278728702,4896,2
c593337f,193.23063554085212,176.50983039904742,127.55484381548169,292.34803754983193,183.25970233617164,7118,3
e7818f7a,187.46515212168364,144.71515703924618,84.28938139705524,376.14091301118697,150.79365342364096,6829,5
b0f53bf4,183.79352203816933,182.1948806447283,94.58604735833116,276.19827950488957,167.66617048153984,4202,3
5397ceb1,178.0124177398157,185.627070842436,114.37459947323832,226.42092980115248,142.07482244172255,6811,2
13ce113d,177.7969057010282,186.94535504983614,129.89257891459,207.4043337898506,161.70027262854177,4875,1
eb06a4e7,176.90504615246536,203.86963813805238,51.37037776552407,248.51053056823267,151.52244821591808,6379,4
071d7b45,174.9561213905,184.89250932032934,124.36565313920491,205.67381378213636,152.20097091341856,4720,2
939d9c34,174.91223973342684,130.2255803556278,74.66579559607528,364.53200262637654,159.81612296815547,6627,4
d60430e6,173.40437665541467,217.29376040090847,23.694250715552553,235.33573510428917,153.54279648627124,4176,2
f074d277,167.49128848270973,172.6205147056392,144.06000188422794,180.66412263533257,164.94536523005473,3868,3
5b7b6324,165.54492351072753,161.79379997814732,121.42128099545533,217.17081309116017,148.55700664610254,8197,1
08fecf00,163.7572767555459,168.26852100153488,139.8897375598865,178.60232745922724,153.43111277441454,7405,5
d9ae59b2,163.69936539329882,95.71103045696607,54.8843142584022,408.491086400861,149.41271861801647,5150,4
272abef3,159.9789584382897,144.58780462347255,51.586475776280224,299.1537487299335,139.18893194083734,5682,4
5f6756c5,159.578555719698,157.5977746919383,136.37826180268027,186.74041169223514,153.46696859646255,8064,4
2075c696,158.11246629827122,167.20746286463987,56.89317761046411,241.14176185334102,143.25390644317022,5580,3
e737965a,157.87060417214752,153.18414262417076,116.23057751643536,208.88355392381314,140.25729473415902,7694,3
5693dde2,157.5904726650425,163.6111958974019,97.57717790105481,205.56232096431134,151.61639808612065,4846,1
511e1db0,156.86182292281035,154.88642952286062,113.78713229005966,203.88730035546052,117.413395407038,5645,2
1550491d,152.2470666852206,182.05743231824027,8.695732679168385,236.17766942523352,127.88537417043524,5929,4
d924e971,149.86312823800628,134.43009674144506,114.38501773439889,216.20730173473612,134.20928553688557,5308,1
7987f2f2,147.73256195688597,116.7316736206284,41.70549214897762,315.76140843730946,126.03831217316817,5714,2
5eae34a8,145.89578940289152,139.50168129980386,117.49022254284226,187.08957246911612,126.84419786467798,6652,1
9b9e3b49,145.45901244805825,127.14099177503662,50.28566776018177,277.26839848197795,129.0934575163728,6875,2
cbb406b5,142.516360580139,168.93969001612038,35.05899930691783,197.12706298139753,121.2692330940728,8135,1
b0d42b0d,142.24441847156822,130.04196089120367,112.47499035975423,196.41876174411138,128.5428551216405,6357,1
89f1085d,141.9516310910178,139.3589232890007,97.3640437109078,191.72463407516193,124.50912682681937,7497,3
f5859199,140.81972646082585,132.88965462197956,98.82812071733832,198.67147588200595,126.45898737116434,7438,4
5aef5c6c,139.78708556093824,138.89158986333263,111.20473890091077,170.16042361617696,117.93366788105044,4853,2
43e16325,139.37167697095947,145.93554491374368,89.04481795453226,176.57080010181815,119.60011561762445,5845,5
9298ad5b,138.1890048205262,143.77068402417723,27.196850775250283,238.0178004585001,128.4531013334318,5807,1
0849b4e2,137.21874820193818,155.8728206293617,60.350476965549355,176.77887458348,127.04972506938311,7436,2
4f4ac5ce,136.26536738218084,148.54864460747507,50.17910684810383,197.78507346566946,122.11254229971182,6899,5
206b6193,132.7767986450356,128.38224148393238,95.24109920889633,179.10161240338127,116.97114406677424,8568,2
c66be2b8,132.27002187200276,133.35172717471949,117.40190562328971,144.9747275152824,109.9371214874452,6207,5
29de15c8,130.7733306264872,104.11048616707755,88.13705665099256,226.7352935208011,113.32318307815451,5164,5
32fe84c9,130.11197876460662,147.1483612440812,56.41751766556276,169.73367490470127,104.55178035247212,8163,5
ee288beb,129.65887423330935,138.49923019158734,65.19984257101876,176.43719397904385,122.91907893041478,6190,3
6a8fa194,129.31700250791812,86.0555817804025,45.56674203577463,299.5901044350929,103.0473237795876,4657,5
ddc790ff,128.65613243183623,133.371305208277,43.07518504416796,204.80673426662298,118.71649110695871,6468,4
9d072e4c,127.27235777420698,69.76532133946614,44.64327795439839,324.91551046349724,114.89192146355398,6798,2
0dc835f3,126.40202891706255,123.15427995637299,88.31198900622428,170.98756674927995,118.05130833908495,5279,2
9d3ec64c,124.99857830905422,127.42867454308991,104.50236721507126,140.6345969349658,111.3136846407196,4937,5
d1ecf309,124.8353817404377,107.27144667957396,60.854229932904495,223.9444036696984,95.09782512180891,7864,2
2cee0cba,124.64592669394298,130.52183487152158,78.43263750793355,159.1073995247952,112.95882312006066,7335,3
e3b34f5b,123.80551438782567,123.14662423261166,104.01319789098393,144.91561119509547,111.27399972326717,7293,3
e32da4ec,123.42188265694807,97.17801283146392,47.64165959247263,251.68984537239183,110.36593712266941,6148,1
7e208414,122.20246026459294,125.9976440283111,56.84644944145086,179.96810356029872,93.05384675817234,5732,3
a87433c9,121.60576635222033,134.81108311143703,58.864812612204744,157.9360865738025,107.18094600649728,7460,5
a6f967fb,121.56870079838899,123.77981267888109,89.76295628872379,148.95222154707002,112.89429362717455,7032,3
d00e7eb9,121.50889003671819,117.1725652487167,15.502121772090916,236.18830787734845,104.25294476947153,7321,4
8648abae,121.10630226230529,137.87218085172753,55.032287007772226,153.64856033799384,111.46800762126189,6086,3
7850c72e,120.18896676401609,136.3875351353061,46.47492645028779,161.50587033516436,107.54454932719304,7712,5
75c20ec7,120.09803418447873,99.76663706745009,29.657107602438934,251.2017550005758,103.60902552095648,7205,3
201661b5,120.00454219071872,114.00187088168038,45.01093194840717,207.003495051107,104.36738413466335,8136,1
fa31da94,119.12111729717526,73.90849489546447,49.06878441583211,279.59869498193996,111.2782252182894,6681,5
653612bc,117.7845320935703,113.28935825150555,34.111284503095895,210.4481273681742,110.80941480234259,5946,3
be35c8f2,116.43567937210962,113.54451440563952,98.19879041951313,140.4548982576463,98.45118288785635,5898,2
2be5c96a,116.32332052908293,111.46697776532429,52.224351859350634,190.13497472633253,101.0572118324757,5753,5
ae0784a8,116.09692413661409,116.47714691702838,72.71204483291916,158.72135787948045,93.17054417260184,9171,3
9df1b1f9,115.26452212050758,111.81360685277937,77.85566616061661,159.57520861585496,106.97475906624875,6444,3
c36625df,114.58970455752578,96.81842767436228,86.08129365793228,178.64066922344622,96.51380226082772,6386,5
8a3da6d1,114.56617480986372,105.47401013650362,54.80899315304978,192.50768581339787,99.43659650056328,6334,1
