model,mean_difficult_rmse,median_difficult_rmse,max_difficult_rmse,mean_difficult_mae,difficult_wells_won
Linear Regression,268.30687492732443,232.73362455017437,1048.7584701830035,262.9074112613515,15
Extra Trees Optimized,343.74098030161974,333.74739702902195,604.7068187759114,315.1813034016577,3
XGBoost Optimized,392.049444175515,396.17186408861005,627.8850121764092,362.2542143341126,0
Random Forest,424.1848168016184,425.04180517869565,672.771417038255,378.7309272290034,2
