model,number_of_rows,number_of_wells,number_of_features,training_seconds,training_minutes,ensemble_weight,model_path
Extra Trees Optimized,5092255,773,6,99.2522,1.6542,0.8,c:\Dev\Rogii Wellbore Geology\rogii-wellbore-geology\models\notebook_08\final_extra_trees_pipeline.joblib
XGBoost Optimized,5092255,773,6,197.3748,3.2896,0.2,c:\Dev\Rogii Wellbore Geology\rogii-wellbore-geology\models\notebook_08\final_xgboost_pipeline.joblib
