Model,Mean RMSE,Median RMSE,RMSE Std,Mean MAE,Median MAE,MAE Std,Evaluated Wells,Rank,Winning Wells,Winning Percentage
Last Known TVT,12.812466352749581,10.665140786694133,8.899486675728205,10.932256376630985,8.728593245227767,8.136745950851658,773,1,599,77.49029754204399
Linear Extrapolation (10),58.13552545800999,37.214908243234476,80.44688600245844,49.35586298456581,30.581623284725836,69.12151585865502,773,2,62,8.020698576972833
Linear Extrapolation (100),60.19142203445473,36.708486430266305,91.05764011420099,51.28123396857031,32.16672959294445,78.36278096629387,773,3,59,7.632600258732213
Linear Extrapolation (50),60.68285782393494,37.987961371142674,87.25969089352745,51.673084026572035,32.46764807802265,75.06893794293234,773,4,50,6.468305304010349
Z → TVT Linear,110.8776850524258,107.13532859068744,41.38995434586783,99.61831518758629,96.23676883041286,37.17606714042402,773,5,3,0.38809831824062097
Formation Marker,1017.9322786135199,893.8264027217872,676.5792705831352,903.6561096348819,801.0323972719837,592.5908043308976,773,6,0,0.0
