well_id,Bias_Formation_Marker_Baseline,Bias_Last_Known_TVT,Bias_Linear_Extrapolation_10,Bias_Linear_Extrapolation_100,Bias_Linear_Extrapolation_50,Bias_Z_to_TVT_Linear_Model,MAE_Formation_Marker_Baseline,MAE_Last_Known_TVT,MAE_Linear_Extrapolation_10,MAE_Linear_Extrapolation_100,MAE_Linear_Extrapolation_50,MAE_Z_to_TVT_Linear_Model,RMSE_Formation_Marker_Baseline,RMSE_Last_Known_TVT,RMSE_Linear_Extrapolation_10,RMSE_Linear_Extrapolation_100,RMSE_Linear_Extrapolation_50,RMSE_Z_to_TVT_Linear_Model
000d7d20_,675.6697880511517,5.445565693431345,27.072292966636965,29.377486125456624,37.475533520500946,-58.280021846090555,675.6697880511517,6.134966110532169,27.08822120627835,29.38431393495293,37.475533520500946,58.280021846090555,760.5518160060432,7.454442102844319,32.107815976447796,34.76235079281408,44.09440636770479,64.62759529912027
00bbac68_,711.2268970021431,2.521854007316989,53.740490370620996,25.348535375452265,41.82370514789918,-103.27802280379811,711.2268970021431,12.104334885267482,53.83392986029821,25.95146604625117,41.994753017554665,103.27802280379811,806.0411655174834,15.263052288602681,68.07597275271704,36.47567818558895,54.643155698705144,115.59151370179744
00e12e8b_,-1222.2882867651729,0.7603417809825593,90.05943269081347,79.73385825264747,91.39465054456204,-100.60126503228135,1222.2882867651729,6.519876772843751,90.05945326390075,79.74011497254858,91.39465727171698,100.60126503228135,1281.9894376060984,7.92458894231589,106.49474391910924,94.60386283103423,108.0328792073174,107.21385008563801
015fe0d2_,677.4438727432542,-19.749576350092607,43.53351455886268,35.856285246115604,44.46400756344087,79.1513706458457,677.4438727432542,19.800242085660624,43.5335183679028,35.87855946163737,44.46400834811228,79.1513706458457,774.0036157023115,23.154889673287215,52.00311673009258,43.268443384774436,53.06469677249864,88.81159878646632
01869cd4_,311.48287731851354,-4.467759582508185,-1.7729717027054954,36.99912268574921,19.186768148714958,85.69060297520258,311.48287731851354,8.635673924779429,7.0036414891918595,36.99912268574921,19.186768148714958,85.69060297520258,347.5873244291661,10.618593023436276,8.80378454152798,41.398682801765034,21.548786688145295,95.05785863687204
01982c1d_,753.4534138792095,2.9473560010147337,52.16262872916316,39.92610721614349,46.93496512466088,-92.54452368784287,753.4534138792095,5.776277594519081,52.22413033234768,40.135636020584386,47.050138992756786,92.54452368784287,842.1410713350042,6.33452473981023,60.48417150314965,46.427202495585924,54.474243892328474,102.79134278786907
028d7b28_,1285.8333972042508,1.806828681424373,73.60379838005144,115.01912646116342,93.54441211490224,157.34579001711688,1285.8333972042508,5.793652550529349,73.60379838005144,115.01912646116342,93.54441211490224,157.34579001711688,1430.747508953907,7.393605105422137,84.04520932678449,131.74884138144017,107.00049978565589,174.0364521490542
02e7fe5a_,1030.5959770823154,-6.604598668755465,78.85503769360488,85.5129859396745,81.95221909822193,-70.93579086983968,1030.5959770823154,6.944919733751464,78.85966095836,85.51339691898701,81.95452368871916,70.93579086983968,1114.3932879859512,8.414429717261077,92.42063963133828,100.0958719334338,95.9908014616985,75.73112997788073
0390d174_,668.6202020510983,1.676087055088481,51.41135978268508,61.95290253667923,58.99183351354261,97.78990612650327,668.6202020510983,7.240213103604261,51.41135978268508,61.95290253667923,58.99183351354261,97.78990612650327,736.4268171076465,8.517417217402954,58.77705549102749,70.84297521662735,67.44987943016443,106.86185421804628
03a935ae_,877.2153892800898,31.036238334529738,3.1662383345840177,2.8046725379551467,3.8253487787533538,-53.29998583559072,877.2153892800898,31.036238334529738,4.6670854271484945,4.593437918667033,4.860104107416201,53.29998583559072,954.6459801705008,35.05448621305352,5.875162602593484,5.71237106912778,6.2332218258374725,57.742210206542815
