well_id,rmse,mae,n_rows,model
00e12e8b,10.852627792634141,9.395030924479167,3000,last_known_tvt
02e7fe5a,8.283852065734374,6.893254557291667,3000,last_known_tvt
044af7d1,9.733097044943136,8.576750325520834,3000,last_known_tvt
09441b8d,15.98654269197948,12.761037109375,3000,last_known_tvt
0d99f8e4,11.751991763020506,10.144616536458333,3000,last_known_tvt
0dc5e64d,18.34814372802947,13.570087565104167,3000,last_known_tvt
0dd99dc5,15.45562998112061,12.270769856770833,3000,last_known_tvt
113011eb,5.566534535768172,4.6701015625,3000,last_known_tvt
13ce113d,4.912224836099695,3.9955022095669364,2719,last_known_tvt
14fee784,22.07546777383694,16.4666787109375,3000,last_known_tvt
153552f5,5.561673677282094,4.4073349609375,3000,last_known_tvt
1770d7c6,10.152638381750316,8.361224952601987,2868,last_known_tvt
18d24f7b,6.252996850251931,5.093992513020833,3000,last_known_tvt
19137a89,15.188051370237897,11.796916341145833,3000,last_known_tvt
1944513c,12.635381295746148,10.255404296875,3000,last_known_tvt
1a518997,7.719599645763515,6.001838541666666,3000,last_known_tvt
1b08ed48,9.935273038343642,8.5625927734375,3000,last_known_tvt
1b1c5372,15.287021351830706,11.735445962167582,2369,last_known_tvt
1b1eba53,51.970717272868846,42.0164677734375,3000,last_known_tvt
1b6ba517,6.427060347142428,5.370229166666666,3000,last_known_tvt
1bcb2fcf,5.878036142854222,4.770208658854167,3000,last_known_tvt
1d78281a,10.407216045960293,8.359023111979166,3000,last_known_tvt
1e5e3573,13.40945526717767,11.217963541666666,3000,last_known_tvt
206b6193,30.39797713618922,25.481321940104166,3000,last_known_tvt
2364716c,14.03303156721195,10.118928059895833,3000,last_known_tvt
26623a50,21.07866719355856,19.7908564453125,3000,last_known_tvt
28f4eda9,14.420653816284403,12.3976884765625,3000,last_known_tvt
29de15c8,5.02104663292384,4.283752278645833,3000,last_known_tvt
2d196986,11.352140280952414,9.120743815104166,3000,last_known_tvt
2ddad940,7.070346613871575,5.644992838541667,3000,last_known_tvt
310c71a5,8.929892166991724,7.503354166666667,3000,last_known_tvt
357c12f9,5.5479308004147905,3.8451793619791665,3000,last_known_tvt
389ae58f,39.54558744084736,35.6380439453125,3000,last_known_tvt
3a7dd95d,12.030535519332034,9.567841471354166,3000,last_known_tvt
3bfee975,12.072226983558396,10.170414031498016,2772,last_known_tvt
42669188,16.951502717837144,13.1772529296875,3000,last_known_tvt
43c7f85a,11.181642337239452,8.906007161458334,3000,last_known_tvt
445af6c2,31.077582296894082,28.249636393229167,3000,last_known_tvt
46a301e9,8.43242322378439,7.130100911458333,3000,last_known_tvt
46a7190b,11.01918333354425,8.922607096354167,3000,last_known_tvt
47222616,9.59039810418897,7.322416119254815,2959,last_known_tvt
481de5fc,10.595622389735377,8.864767578125,3000,last_known_tvt
493b5b31,18.307129159022878,15.998169270833333,3000,last_known_tvt
4a035ec2,15.366629635080132,11.37905914614899,2178,last_known_tvt
4c3df468,21.45258566479008,19.475161783854166,3000,last_known_tvt
4ddde4c1,4.826309610173404,4.0227109375,3000,last_known_tvt
4f4ac5ce,11.979249858472238,9.921518229166667,3000,last_known_tvt
504c8b08,15.349444142465256,12.330037760416667,3000,last_known_tvt
52f1e77a,13.163901110333503,10.958542643229167,3000,last_known_tvt
5397ceb1,9.775760220383315,7.9026497395833335,3000,last_known_tvt
5693dde2,5.663746277067638,4.537873844833149,2712,last_known_tvt
56b00794,26.998233334210735,24.794059895833332,3000,last_known_tvt
5d11dfb5,9.91300922442357,7.3480276692708335,3000,last_known_tvt
5f6756c5,8.748967598363167,7.4165322265625,3000,last_known_tvt
633774dc,16.59450952545277,14.757450846354166,3000,last_known_tvt
656a067b,27.427740579273856,23.229705078125,3000,last_known_tvt
65a5466a,10.043042549138125,7.960895833333334,3000,last_known_tvt
6767c111,13.342385094119084,10.867114583333333,3000,last_known_tvt
6a8fa194,12.123198655847682,10.603118815104168,3000,last_known_tvt
6d590e26,12.376714873420791,10.421040690104167,3000,last_known_tvt
6ea22614,8.718267112736356,7.033155825027944,2684,last_known_tvt
70e1788b,6.514593161305219,5.4006982421875,3000,last_known_tvt
71642c7d,10.428437667547486,8.626072916666667,3000,last_known_tvt
7224331b,5.708577085687937,4.437026041666667,3000,last_known_tvt
7256229b,6.949786204724889,5.3238193359375,3000,last_known_tvt
729e9750,8.847211194768684,7.85588903799254,2614,last_known_tvt
75d20a82,17.194439197280992,14.656333658854166,3000,last_known_tvt
764072a5,7.24503182930511,5.373734700520833,3000,last_known_tvt
7993a768,8.552140654644004,7.593352864583333,3000,last_known_tvt
7b2c7b3c,6.980959589742644,5.591250651041666,3000,last_known_tvt
7bb17b96,15.40414249128371,13.164365600479512,2294,last_known_tvt
7cd4bb31,7.472384144469945,6.139294270833333,3000,last_known_tvt
7e208414,6.583961171315558,5.818324544270833,3000,last_known_tvt
807f0298,8.78059217082792,6.3866975911458335,3000,last_known_tvt
811f52b3,4.5690814741741805,3.2140211588541665,3000,last_known_tvt
