model,rmse,mae,n_rows,n_wells,mean_well_rmse,median_well_rmse,mean_well_mae,median_well_mae,max_well_rmse
last_known_tvt,16.214981057482472,10.826793088500645,451883,155,13.08598697404012,10.428437667547486,10.778553636851152,8.560174281301062,54.29839587543364
linear_w5,93.89140977817208,46.4029135575124,451883,155,61.19488438695783,42.00448985597776,45.780219523698015,32.024444010416666,570.3962005807141
linear_w10,96.70346853523577,47.198610734312034,451883,155,62.37328434908397,43.626633207159735,46.56281373611232,33.242986653645836,586.2998653673975
linear_median_slope,101.01956853222694,47.64054736046858,451883,155,63.22618499370097,44.18214876526841,46.98926269096586,32.99312955729167,606.0487616389298
linear_w25,102.40030648346803,48.32678946002063,451883,155,64.24286113182163,44.59446743881641,47.66132557556221,33.52667936197917,606.0482048590043
linear_w100,105.91728804153212,50.589403590953026,451883,155,67.37220774365301,49.179865342381554,49.927746795878264,35.9681754614669,618.5887302028549
linear_primary,106.00857533347113,49.68443439685646,451883,155,66.44692836275138,46.66563169328391,49.01828428182664,35.331366820284956,621.4999732754774
linear_w50,106.00857533347113,49.68443439685646,451883,155,66.44692836275138,46.66563169328391,49.01828428182664,35.331366820284956,621.4999732754774
