model,rmse,mae,n_rows,n_wells,mean_well_rmse,median_well_rmse,mean_well_mae,median_well_mae,max_well_rmse
without_typewell,19.928326591239415,11.901174483211625,50000,155,14.857440883510122,11.210232823816483,11.764547176792583,9.197346857773535,88.14706194267825
with_typewell,19.747296381910886,11.995582512410751,50000,155,14.866651832520802,11.611769972940026,11.865462434040186,9.500366113475474,89.9172702528435
