model,fold,rmse,mae,training_seconds,prediction_seconds,training_rows,validation_rows,training_wells,validation_wells,overlapping_wells
Random Forest,1,88.75845707131296,43.01656177845307,636.1881327000156,3.491837999987183,4075197,1017058,619,154,0
Random Forest,2,107.8943387586699,47.9326044112344,551.4029488000087,2.6199152000190224,4075198,1017057,619,154,0
Random Forest,3,91.53800254352632,47.64777223941084,546.6478491000016,2.8353769999812357,4073152,1019103,618,155,0
Random Forest,4,134.0446729036517,56.113260415069774,552.4977901999955,2.8736344999924768,4072802,1019453,618,155,0
Random Forest,5,96.19737375183318,47.82813292741736,523.1620803000114,2.7050844999903347,4072671,1019584,618,155,0
