model,fold,rmse,mae,training_seconds,prediction_seconds,training_rows,validation_rows,training_wells,validation_wells,overlapping_wells
Extra Trees Optimized,1,65.39787517260628,32.63387755762108,148.89434890000848,3.5426255999773275,4075197,1017058,619,154,0
Extra Trees Optimized,2,90.59875961057297,40.13746606184813,159.96670160000212,7.333145299984608,4075198,1017057,619,154,0
Extra Trees Optimized,3,65.6524886440435,32.13891130218025,231.52374259999488,6.392360400001053,4073152,1019103,618,155,0
Extra Trees Optimized,4,101.8742301287675,41.76944711445342,169.01285290002124,4.851094700017711,4072802,1019453,618,155,0
Extra Trees Optimized,5,88.06242138102627,42.0579156685019,154.83274389998405,4.930455999972764,4072671,1019584,618,155,0
