model,validation_method,oof_rmse,oof_mae,mean_fold_rmse,std_fold_rmse,mean_fold_mae,std_fold_mae,total_training_seconds,total_prediction_seconds,total_evaluation_seconds,evaluated_rows,evaluated_wells,rmse_rank,mae_rank,stability_rank,final_position,rmse_improvement_vs_linear,rmse_improvement_pct_vs_linear,mae_improvement_vs_linear,mae_improvement_pct_vs_linear
Extra Trees Optimized,5-Fold GroupKFold,83.58603724268727,37.749300465977164,82.3171549874033,16.186764523369632,37.74752354092095,4.951592705010548,864.2303899000108,27.049681999953464,943.9293651999906,5092255,773,1,1,2,1,32.053832599788734,27.718668866933427,46.0905152654642,54.97449495011172
XGBoost Optimized,5-Fold GroupKFold,93.43114202257063,46.27983860681105,91.95831329646299,18.427536613400164,46.27823587848576,4.594200884267067,1402.4669331000187,38.74953149998328,1492.7246955000155,5092255,773,2,2,3,2,22.208727819905377,19.205078534036733,37.559977124630315,44.799689499490015
