model,fold,rmse,mae,training_seconds,prediction_seconds,training_rows,validation_rows,training_wells,validation_wells,overlapping_wells
XGBoost Optimized,1,74.58108289367681,41.81942675063608,318.2687985000084,7.637320299982093,4075197,1017058,619,154,0
XGBoost Optimized,2,96.5062815481473,48.03067352876824,256.7795361999888,7.143997199978912,4075198,1017057,619,154,0
XGBoost Optimized,3,77.4509632665947,41.78430127021785,278.5293364999816,9.526955700013787,4073152,1019103,618,155,0
XGBoost Optimized,4,120.65219563558936,52.64940483393729,281.87676750001265,7.455220300005749,4072802,1019453,618,155,0
XGBoost Optimized,5,90.60104313830678,47.10737300886932,267.0124944000272,6.986038000002736,4072671,1019584,618,155,0
