model,fold,rmse,mae,training_seconds,prediction_seconds,training_rows,validation_rows,training_wells,validation_wells,overlapping_wells
Linear Regression,1,132.57316396192147,82.71397802704065,29.700639999995474,0.8915108000219334,4075197,1017058,619,154,0
Linear Regression,2,120.2329446869102,92.02900101086719,38.497533599991584,0.9329932999971788,4075198,1017057,619,154,0
Linear Regression,3,97.61162636455283,76.24146470953752,31.388154999993276,1.0198303000070155,4073152,1019103,618,155,0
Linear Regression,4,113.38736911953515,83.63330187911485,27.141998700011754,0.6068915000068955,4072802,1019453,618,155,0
Linear Regression,5,111.6144513836913,84.59522923243433,21.964584600005765,0.5488782999746036,4072671,1019584,618,155,0
