Model,Mean RMSE,Std RMSE,Mean MAE,Std MAE
Random Forest,103.68656900579883,18.47866362277599,48.50766635431709,4.730992768054562
Linear Regression,115.08391110332221,12.772848662675703,83.84259497179892,5.627576370811915
