feature,importance_mean,importance_std
Z,332.0730959022495,0.5027454849647934
ASTNU,87.8902324372301,0.2661037476449707
TVT_input,69.78596236252135,0.49856304036963534
X,48.287768715591824,0.18630476339231303
BUDA,45.836723359888175,0.20908105448809347
ASTNL,44.382196729694556,0.10385461116261699
Y,36.592102486092436,0.16677535632943896
EGFDU,34.306395402230315,0.10247283273296123
ANCC,32.79095103249365,0.14065312321597548
MD,32.18325382469351,0.207911524612886
EGFDL,28.873869754610748,0.08776182807562478
GR,-0.050376297352390985,0.004145046888493392
