well_id,model,rmse,mae,n_rows
9bd2bba3,ExtraTrees,2.6764470764446724,2.0969459847713616,9092
e7c36e81,ExtraTrees,3.550172457654943,2.846705089740487,5655
18d24f7b,ExtraTrees,3.783702586959809,3.1764062712020134,6260
43c7f85a,ExtraTrees,4.144210604429587,3.0438249807251365,7484
4ddde4c1,ExtraTrees,4.339381813483095,3.4987511883301066,6417
7b2c7b3c,ExtraTrees,4.353535490522759,3.093242797274728,4231
7cd4bb31,ExtraTrees,4.403928877254495,3.3326549343015435,7959
28f4eda9,ExtraTrees,4.68498863685505,3.8821256848980505,6824
89fdb2f2,ExtraTrees,4.872848500443322,4.424306016642829,3570
504c8b08,ExtraTrees,5.2003293284957985,4.091543142838714,8012
d63196fe,ExtraTrees,5.2106848065154585,4.2156752528237496,5881
2d196986,ExtraTrees,5.215058798268324,3.713620866703693,8316
f4d12d23,ExtraTrees,5.391887988785632,3.9478648135065066,5448
1a518997,ExtraTrees,5.4963042657723715,4.6785630988124645,6544
75d20a82,ExtraTrees,5.558022145088313,2.614497283504879,7002
c03d4aed,ExtraTrees,6.216650870546498,5.023604462074783,6375
95c8427f,ExtraTrees,6.631027448543215,5.56835846959504,8051
445af6c2,ExtraTrees,6.851366968284709,5.581629966004577,7998
310c71a5,ExtraTrees,6.958460266857561,4.9806677214917565,6988
b8c49c1a,ExtraTrees,7.052917644257048,5.1469180041543785,6254
46a7190b,ExtraTrees,7.553506448226699,6.3554888684417135,5646
f140c2fa,ExtraTrees,7.583462880219789,4.652786581577369,6024
52f1e77a,ExtraTrees,7.585051601220221,5.999284541965491,6053
9ffce529,ExtraTrees,7.666597780675989,6.618511274773457,6675
47222616,ExtraTrees,7.7030700642181555,6.572168221350586,5835
87aa3730,ExtraTrees,7.764471321317859,6.977101089038674,7293
fbd68d27,ExtraTrees,7.84398564791456,6.19104381870762,8552
85380836,ExtraTrees,7.895473874548636,6.196887362979759,8175
7bb17b96,ExtraTrees,7.997142227072922,6.036340178222618,5295
656a067b,ExtraTrees,8.13531615476863,5.935001800284999,4896
729e9750,ExtraTrees,8.231733698494198,5.405755748926213,7427
2364716c,ExtraTrees,8.507145170831055,5.992319184504549,6093
0d99f8e4,ExtraTrees,8.690528264707599,7.381395839095072,7522
09441b8d,ExtraTrees,8.918998040486107,5.560145386260167,7395
81bf5923,ExtraTrees,9.011508985422582,8.083697495083682,6386
d7eb0be8,ExtraTrees,9.055180629424004,7.748458730527313,7208
a4cdbb0f,ExtraTrees,9.15602145423928,7.593273426315871,6759
ea41324e,ExtraTrees,9.166418492744322,6.875445470381227,6839
1d78281a,ExtraTrees,9.30591002279632,7.789350136722628,6810
fc03f21f,ExtraTrees,9.307261625030618,6.671709870745448,6202
c50b42f6,ExtraTrees,9.656443332717826,7.285163324995327,7920
811f52b3,ExtraTrees,9.775148430279401,8.597547777998384,6674
ad2133a8,ExtraTrees,9.835069329138676,7.9168153243707575,7187
14fee784,ExtraTrees,9.986954776929958,7.844787208583723,6406
ef8e3ed0,ExtraTrees,10.032766422352067,8.491752414878812,6637
1b6ba517,ExtraTrees,10.159235441067823,8.963426388123185,8611
1b08ed48,ExtraTrees,10.610969081668983,8.610557767193276,7175
1b1eba53,ExtraTrees,10.65738500991801,8.524975213551382,6710
153552f5,ExtraTrees,10.685483548658826,8.706339946525667,6498
da3bfe4e,ExtraTrees,10.840423718873822,8.245352852625254,7107
764072a5,ExtraTrees,11.126335822097856,9.275950349489502,4594
a9c9b150,ExtraTrees,11.3684415777439,9.886818622024858,5826
8d5d46d7,ExtraTrees,11.722375854825792,10.500691928281265,7282
ea3a0e38,ExtraTrees,11.772024754787752,8.632646253931055,11794
1b1c5372,ExtraTrees,11.85473519956173,9.146317134488834,5792
d6c320d9,ExtraTrees,12.006039772964648,10.512083477849188,6946
481de5fc,ExtraTrees,12.050181044012906,10.313207886631846,7694
c42fe306,ExtraTrees,12.223892743247681,8.72021488177817,7023
cda7eb37,ExtraTrees,12.3422009903441,9.244602332731054,7620
a6b8ac67,ExtraTrees,12.543993525203822,10.837560937614978,7017
4a035ec2,ExtraTrees,12.59446280569726,10.00650108823886,4522
1770d7c6,ExtraTrees,12.736865391951351,10.254989196348118,9121
e5864244,ExtraTrees,13.185971330028819,10.309810176607948,6037
a692b17e,ExtraTrees,13.25791444706727,10.599390741658535,5409
7224331b,ExtraTrees,13.646022835031802,10.989773980498898,7566
357c12f9,ExtraTrees,13.821390764744509,10.489530939392584,5770
e161bd0c,ExtraTrees,13.916536268897067,10.361127064221533,4813
493b5b31,ExtraTrees,14.072034256119279,10.16706961465982,6884
a15bc102,ExtraTrees,14.58595246344475,11.151253963842624,5124
e45a2a62,ExtraTrees,15.57888608762679,12.327897384281279,6697
e14d641e,ExtraTrees,15.805565410857065,13.42524744636487,4978
febb4411,ExtraTrees,15.884159533641009,11.584917602458988,6275
19137a89,ExtraTrees,16.156636286411313,13.773561671445682,7958
1944513c,ExtraTrees,16.2416590100186,15.270342258582597,6599
65a5466a,ExtraTrees,16.405271935220348,12.5055205790175,6117
6767c111,ExtraTrees,16.959462940985713,12.10266679687071,8354
633774dc,ExtraTrees,17.149095094162465,12.858088253335172,7972
807f0298,ExtraTrees,17.447906319240452,12.592612827450216,5499
f5d8aab6,ExtraTrees,17.483293784197013,12.11348599616208,6576
56b00794,ExtraTrees,17.696368226565642,11.728392022145538,7293
abf460d2,ExtraTrees,18.452417436751166,11.678611281079947,4763
70e1788b,ExtraTrees,18.480701420683012,15.966699206435909,11338
7993a768,ExtraTrees,18.561305215970513,15.354963622143249,7047
a2e8e7f6,ExtraTrees,18.837692988718572,15.476115621805612,5812
f053a1b9,ExtraTrees,18.871292270598637,14.429811010845132,5952
113011eb,ExtraTrees,18.971514829405123,17.032668220419147,4561
6a8fa194,ExtraTrees,19.328808427875735,14.714141490693976,4657
d217e0c5,ExtraTrees,19.68904023519717,16.208015910633964,5713
9ae248be,ExtraTrees,20.45905502476597,17.480162084305963,6655
96936c22,ExtraTrees,20.738364340522754,12.364221419588857,4997
ba48188d,ExtraTrees,21.358501243074816,12.625001959141215,5534
b4d8dd4f,ExtraTrees,21.44774027727228,11.039690091634723,5909
c9fedcf3,ExtraTrees,22.365313475192163,20.015170448810675,5210
2ddad940,ExtraTrees,22.845927014010133,20.397855664540717,6812
6ea22614,ExtraTrees,23.17159317738257,17.83151588309606,7894
e7d0c1de,ExtraTrees,23.742174608552016,18.243315489339547,6455
5d11dfb5,ExtraTrees,24.17377999113787,22.305449352778727,7643
d0a0e7b5,ExtraTrees,24.224546154570657,14.978259736666685,5423
0dd99dc5,ExtraTrees,24.609322775996308,16.083024958807183,9182
c9e6734f,ExtraTrees,25.130362797571095,22.896135601362115,6388
d273674e,ExtraTrees,25.240688583647206,17.021143083316336,5738
940a48d9,ExtraTrees,25.86797796052939,16.50429637120184,5627
fae0c593,ExtraTrees,26.49938286284616,20.781612133077125,6147
02e7fe5a,ExtraTrees,27.77452416331054,25.165504074489082,6888
3bfee975,ExtraTrees,29.81222135072815,24.691578568492616,5088
1e5e3573,ExtraTrees,30.47859004048557,26.620134067799484,7126
42669188,ExtraTrees,30.82604334835164,26.825283848983858,6080
00e12e8b,ExtraTrees,33.1024452791274,28.247512426914263,6384
7e208414,ExtraTrees,34.05985048372023,22.85492785428015,5732
8c8348e8,ExtraTrees,34.164109249067316,30.759646258887095,5581
fd3b4faa,ExtraTrees,37.512023529876,29.42977434124343,6956
c84c65be,ExtraTrees,37.6110275676892,31.962720510387932,10243
9a6b0392,ExtraTrees,37.877095564787744,30.988226354492276,5802
ff8bb73a,ExtraTrees,38.28455265311123,29.614563600593414,7670
4c3df468,ExtraTrees,38.70293188628334,18.113702135315595,6903
e3b34f5b,ExtraTrees,38.959918045226146,32.36423637757754,7293
71642c7d,ExtraTrees,39.21151583299781,33.85225583219555,6657
ebe69318,ExtraTrees,40.32854981593172,34.9974031718809,6718
8382f4b6,ExtraTrees,40.3975063440455,27.170424075326657,6680
ab94878e,ExtraTrees,40.692678853567685,27.366118503569677,7652
389ae58f,ExtraTrees,41.64373170604434,39.40550043130258,8201
f49fdea3,ExtraTrees,41.71725061217456,35.40524662784407,7027
d463e527,ExtraTrees,43.16916870838857,39.34391605589157,6991
89969c7a,ExtraTrees,44.70117965472553,33.829673931957544,6317
86454a6f,ExtraTrees,45.51103919262644,31.549484309974538,9100
fef8af96,ExtraTrees,47.58827403090332,41.977125355027496,5068
