progress_bin,mean_absolute_error,mean_residual,row_count
"(-0.001, 0.1]",10.242324207587458,2.177579221079566,104476
"(0.1, 0.2]",21.358116548148836,5.536750095618106,104395
"(0.2, 0.3]",32.835010040736684,9.433746924293162,104377
"(0.3, 0.4]",38.1384066245216,10.326546385137814,104396
"(0.4, 0.5]",41.00306435877621,11.263980991450659,104410
"(0.5, 0.6]",42.58888865383231,11.072590501407634,104365
"(0.6, 0.7]",43.769576879788225,8.56174606153895,104384
"(0.7, 0.8]",44.46837690729324,6.226807202803242,104389
"(0.8, 0.9]",47.18097833461519,8.009113580037669,104383
"(0.9, 1.0]",51.95073649054246,10.386955970911403,104462
