feature,importance
Z,0.2100972824300899
EGFDU,0.12711187359881168
BUDA,0.1263148881991945
ASTNL,0.12100107619893341
EGFDL,0.1149671982281914
ASTNU,0.11417741262562676
ANCC,0.11417046565473707
TVT_input,0.025117519299251344
X,0.018287238010801055
Y,0.01695977360891419
MD,0.011360300527709538
GR,0.0004349716177392024
