model,rmse,mae,training_seconds,prediction_seconds,validation_rows,validation_wells,rmse_rank,mae_rank,training_time_rank,prediction_time_rank,overall_score,overall_rank,rmse_difference_from_best,rmse_percentage_above_best
ExtraTrees,88.2815618767592,42.24428733661923,77.1927127999952,2.6890133999986574,1044037,155,1,1,3,1,1.2000000000000002,1,0.0,0.0
XGBoost,90.22380472002885,42.27476065847644,127.5098571999988,3.7612674000047264,1044037,155,2,2,4,2,2.2,2,1.9422428432696535,2.2000549174481288
LightGBM,94.35732654661172,50.95371936713059,72.44116239999857,7.826975399999355,1044037,155,3,4,2,3,3.2,3,6.075764669852518,6.8822577905160625
HistGradientBoosting,95.5980316034024,50.87687984156897,67.12923369999771,7.841851400000451,1044037,155,4,3,1,4,3.4,4,7.316469726643206,8.287653243898172
